1213 203 1
1214 204 1
1215 205 1
1215 4 1
1215 206 1
1215 207 1
1216 18 1
1217 205 1
1218 208 1
1219 142 1
1220 119 1
1221 209 1
1222 210 1
1223 211 1
1223 183 1
1223 45 1
1223 212 1
1223 213 1
1223 214 1
1223 215 1
1224 216 1
1225 217 1
1225 218 1
1226 219 1
1227 220 1
1227 22 1
1228 77 1
1229 221 1
1230 222 1
1231 223 1
1231 224 1
1231 45 1
1232 225 1
1232 226 1
1233 227 1
1234 228 1
1235 210 1
1236 72 1
1236 229 1
1237 70 1
1238 230 1
1239 231 1
1240 232 1
1241 233 1
1242 234 1
1243 149 1
1244 235 1
1245 48 1
1246 236 1
1247 237 1
1248 238 1
1249 239 1
1250 240 1
1250 241 1
1251 242 1
1251 243 1
1251 244 1
1251 168 1
1252 245 1
1253 246 1
1254 161 1
1255 247 1
1256 248 1
1256 184 1
1257 27 1
1257 14 1
1257 249 1
1258 250 1
1258 251 1
708 252 1
708 43 1
1260 138 1
1261 253 1
1262 5 1
1263 254 1
1264 87 1
1265 255 1
1265 256 1
1266 235 1
1266 257 1
1267 258 1
1268 259 1
1269 260 1
1269 261 1
1270 72 1
1270 178 1
1271 92 1
1272 262 1
1273 263 1
1274 87 1
1275 264 1
1276 256 1
1277 265 1
1277 266 1
1277 267 1
1278 29 1
1278 268 1
1278 3 1
1278 269 1
1279 270 1
1279 271 1
1280 272 1
654 155 1
654 273 1
1282 44 1
1283 248 1
1284 274 1
1284 60 1
1285 104 1
1286 4 1
1287 83 1
1287 275 1
1286 83 1
1287 276 1
1287 50 1
1287 178 1
1287 9 1
1288 277 1
1289 81 1
1290 278 1
645 100 1
645 57 1
645 129 1
645 89 1
645 48 1
645 58 1
645 15 1
645 279 1
1292 224 1
1293 280 1
1294 281 1
1294 92 1
1295 282 1
1296 283 1
1296 284 1
1296 285 1
1297 286 1
1298 97 1
1299 287 1
1300 242 1
1300 288 1
1300 77 1
1301 289 1
1302 290 1
1303 83 1
1303 258 1
1304 21 1
694 291 1
694 292 1
694 293 1
694 115 1
694 294 1
694 15 1
694 295 1
1306 296 1
1307 297 1
1308 224 1
1309 298 1
1310 299 1
